"Source:","/home/martin/Otelo/Elektroniknode/Wasserrakete/Schaltplan/fallschirmsystem_bedienfeld/fallschirmsystem_bedienfeld.kicad_sch"
"Date:","Fr 09 Dez 2022 00:26:18"
"Tool:","Eeschema 6.0.9-8da3e8f707~117~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","15"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","10u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","D1","D_Schottky","Device:D_Schottky","Diode_SMD:D_SMA_Handsoldering","~"
"","","D2","D_Schottky","Device:D_Schottky","Diode_SMD:D_SMA_Handsoldering","~"
"","","D3","Boot_LED","Device:LED","LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm","~"
"","","D4","GPS_LED","Device:LED","LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm","~"
"","","D5","Network_LED","Device:LED","LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm","~"
"","","J1","Power Supply","Connector:Conn_01x02_Female","Connector_Molex:Molex_Micro-Latch_53253-0270_1x02_P2.00mm_Vertical","~"
"","","J2","Conn_01x06_Female","Connector:Conn_01x06_Female","Connector_Molex:Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical","~"
"","","R1","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R2","68k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R3","220","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R4","680","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R5","220","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","SW1","Ein/Aus","Switch:SW_Push_SPDT","footprints:slide_switch","~"
"","","U1","LM555xM","Timer:LM555xM","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","http://www.ti.com/lit/ds/symlink/lm555.pdf"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","C1","10u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"2","2","D1, D2","D_Schottky","Device:D_Schottky","Diode_SMD:D_SMA_Handsoldering","~"
"3","1","D3","Boot_LED","Device:LED","LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm","~"
"4","1","D4","GPS_LED","Device:LED","LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm","~"
"5","1","D5","Network_LED","Device:LED","LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm","~"
"6","1","J1","Power Supply","Connector:Conn_01x02_Female","Connector_Molex:Molex_Micro-Latch_53253-0270_1x02_P2.00mm_Vertical","~"
"7","1","J2","Conn_01x06_Female","Connector:Conn_01x06_Female","Connector_Molex:Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical","~"
"8","1","R1","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"9","1","R2","68k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"10","2","R3, R5","220","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"11","1","R4","680","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"12","1","SW1","Ein/Aus","Switch:SW_Push_SPDT","footprints:slide_switch","~"
"13","1","U1","LM555xM","Timer:LM555xM","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","http://www.ti.com/lit/ds/symlink/lm555.pdf"
